"","5-Fluorouracil","ABT737","Acetalax","Afatinib","Afuresertib","AGI-5198","AGI-6780","Alisertib","Alpelisib","AMG-319","AT13148","Axitinib","AZ6102","AZ960","AZD1208","AZD1332","AZD2014","AZD3759","AZD4547","AZD5153","AZD5363","AZD5438","AZD5582","AZD5991","AZD6482","AZD6738","AZD7762","AZD8055","AZD8186","BI-2536","BIBR-1532","BMS-345541","BMS-536924","BMS-754807","Bortezomib","Buparlisib","Camptothecin","Carmustine","Cediranib","Cisplatin","Crizotinib","Cyclophosphamide","Cytarabine","CZC24832","Dabrafenib","Dactinomycin","Dactolisib","Daporinad","Dasatinib","Dihydrorotenone","Dinaciclib","Docetaxel","Doramapimod","Elephantin","Entinostat","Entospletinib","Epirubicin","EPZ004777","EPZ5676","Erlotinib","Fludarabine","Foretinib","Fulvestrant","Gallibiscoquinazole","Gefitinib","Gemcitabine","GNE-317","GSK1904529A","GSK2578215A","GSK2606414","GSK269962A","GSK343","GSK591","I-BET-762","I-BRD9","Ibrutinib","Ipatasertib","Irinotecan","IWP-2","JQ1","KU-55933","Lapatinib","LCL161","Leflunomide","LGK974","Linsitinib","LJI308","Luminespib","LY2109761","MG-132","MIM1","MIRA-1","Mirin","Mitoxantrone","MK-1775","MK-2206","MK-8776","ML323","MN-64","Navitoclax","Nelarabine","Nilotinib","Niraparib","NU7441","Nutlin-3a (-)","NVP-ADW742","Obatoclax Mesylate","OF-1","Olaparib","OSI-027","Osimertinib","OTX015","Oxaliplatin","P22077","Paclitaxel","Palbociclib","PCI-34051","PD0325901","PD173074","Pevonedistat","PF-4708671","PFI3","Pictilisib","PLX-4720","Podophyllotoxin bromide","PRIMA-1MET","PRT062607","Pyridostatin","Rapamycin","Ribociclib","RO-3306","Ruxolitinib","RVX-208","Sabutoclax","Sapitinib","Savolitinib","SB216763","SB505124","SCH772984","Selumetinib","Sepantronium bromide","Sinularin","Sorafenib","Staurosporine","Talazoparib","Tamoxifen","Taselisib","Telomerase Inhibitor IX","Temozolomide","Teniposide","Topotecan","Tozasertib","Trametinib","Ulixertinib","UMI-77","Uprosertib","VE-822","VE821","Venetoclax","Vinblastine","Vincristine","Vinorelbine","Vorinostat","VX-11e","Wee1 Inhibitor","WEHI-539","WIKI4","Wnt-C59","WZ4003","XAV939","YK-4-279","ZM447439","Zoledronate"
"DB",5.034285,-3.592683,3.709085,0.767433,1.527165,3.651117,2.832491,2.214597,4.505448,4.990392,4.482864,NA,1.644534,1.471581,4.846236,4.795834,2.272216,2.382234,2.172067,1.766168,2.687792,0.865011,1.193396,-1.392556,NA,1.608775,0.26577,NA,4.990392,NA,4.990392,2.233959,2.955741,NA,-6.662151,0.331415,-4.506183,5.54803,0.831294,1.634974,3.111321,4.990296,-0.475721,3.943838,2.088477,-5.9101025,-3.860591,-6.200794,1.628295,1.039089,-3.547104,-5.5784015,NA,2.749399,0.852146,3.302883,-2.177879,3.700556,5.08582,1.434655,3.576397,1.267218,3.3339655,0.813064,0.006817,-5.096793,NA,3.902853,4.990392,2.119221,NA,2.371028,4.983142,1.376201,2.426557,4.989939,3.474602,0.514756,1.967459,NA,NA,1.499051,4.469549,3.254532,3.539272,4.196,4.927867,-2.252379,4.980311,-3.230456,3.13652,4.57888,3.99965,-0.870366,-0.719259,2.007308,3.451773,3.147478,4.990392,-0.687117,5.637591,0.235726,4.012862,NA,3.532902,1.782761,1.222646,4.910404,4.763228,NA,1.426672,1.654686,1.4906525,3.741752,-5.317113,1.498249,3.507931,1.595644,3.781406,0.277508,NA,4.971415,1.44414,2.562318,-2.436225,3.547684,2.571752,2.182565,-3.696087,NA,NA,3.945619,3.857486,-2.495845,4.573792,1.968032,NA,NA,4.345701,5.375138,-4.812613,3.786419,1.079669,-2.214844,1.812112,1.737178,3.424761,0.66229,5.293028,-1.049954,-2.414499,NA,2.301882,3.136784,1.682799,3.6588525,2.331297,2.471793,-3.806042,-5.82296,-4.806997,-4.868133,-1.369584,2.323965,0.864935,2.102223,2.802457,2.230646,3.067164,4.679884,-0.118789,NA,3.211252
"DBTRG05MG",9.552617,1.378992,7.853941,4.713988,3.683852,5.725216,6.144065,4.138545,7.18238,6.68385,6.656557,NA,3.712051,3.230081,7.224959,4.411829,3.904387,4.157405,3.981156,4.128951,3.914988,5.729523,6.855897,7.333835,NA,4.563015,2.152438,NA,3.858894,NA,7.741546,6.746328,2.359625,NA,-3.26543,1.892621,0.019731,8.774273,4.474875,7.103745,6.328229,7.620755,3.875349,7.512742,1.865822,-2.254007,2.038119,NA,3.310678,2.302244,0.131388,-0.1021595,NA,7.453266,5.839714,4.54386,-0.772907,7.140613,8.4349,3.716378,6.069758,3.651516,5.874113,4.254227,5.780639,1.727764,2.482074,6.887273,7.591695,6.224038,NA,5.181599,6.942551,7.02508,7.129831,7.374754,4.870194,4.554526,5.039392,NA,NA,7.100244,6.826145,6.547089,6.160356,7.257546,6.451682,-0.124136,6.501145,-0.930232,4.668898,7.934361,7.743924,1.622976,3.329183,6.891053,5.915007,7.284812,6.990947,1.16232,8.239213,6.402332,7.106297,NA,5.519995,6.015028,2.974981,7.219709,6.893261,7.126026,3.319013,5.763764,6.7267645,5.890875,2.08877,7.609481,7.459167,0.929959,6.884777,2.739434,NA,7.820774,4.956188,3.192421,2.134515,8.410275,6.275139,7.411379,1.410667,NA,NA,6.787163,5.8263,0.820784,6.570561,3.539853,NA,NA,2.926958,4.674671,-4.321497,5.535194,4.846905,0.456566,4.347563,5.481478,5.167529,2.658322,8.705989,3.277803,1.010873,NA,0.645866,2.6782905,5.054418,5.408187,6.794479,5.798611,2.465266,-0.924577,1.296925,-1.533485,4.61334,5.049693,5.663154,3.036819,4.20411,6.688706,7.014174,5.78797,3.739991,NA,5.682412
"DEL",-0.050631,2.928607,4.022513,-0.009836,1.796472,3.866707,2.815912,-3.151471,3.804935,2.769735,2.24785,NA,1.042208,-3.448105,3.932336,0.85179,-0.968188,2.037552,0.329449,-2.056456,1.470789,0.218027,-3.080644,-2.681282,NA,-0.931279,-2.862395,NA,2.126131,NA,3.443167,1.284889,0.404572,NA,-6.658972,-0.328716,-5.358062,3.808105,0.750955,-0.267635,-2.641189,2.934383,-1.776327,4.229039,2.958058,-6.246302,-3.934904,NA,1.489383,0.138751,-4.130174,-6.5055065,NA,0.442562,-0.172204,2.219345,-4.007563,3.502616,3.291878,0.678882,4.976262,-1.387263,2.152336,1.618984,2.18687,-5.756437,-0.795556,3.465919,2.24278,1.872518,NA,1.688793,2.415382,0.183646,1.670567,2.653845,2.472803,-0.439457,1.914014,NA,NA,1.756594,3.625198,2.90807,3.327617,2.353357,4.285224,-5.107644,3.411682,-3.159672,1.912599,1.033842,3.005064,-3.226146,-1.794646,1.473026,-0.683599,3.32919,3.330084,2.088023,4.971849,2.399125,0.380089,NA,3.684498,1.563285,-1.796824,3.732862,1.550133,2.968625,-0.107475,-1.699236,1.3018505,1.643709,-5.219528,1.229603,1.915512,-0.42463,1.686985,-2.026608,NA,4.284172,1.013415,1.670295,-3.112923,-0.201533,0.882064,2.052958,-6.217003,NA,NA,1.961052,2.558451,-3.903607,3.529615,0.972926,NA,NA,1.499255,3.425729,-5.249798,0.833879,1.405334,-4.897304,-2.033614,1.528256,2.96922,-1.120525,2.002287,-3.166428,-3.844507,NA,-0.725092,1.6379985,2.485863,1.71964,0.226276,0.595011,1.311647,-6.212596,-6.670596,-7.17696,0.152955,1.589312,-0.504733,2.53233,3.902671,2.790726,1.804774,2.427614,-0.976657,NA,2.457457
"DETROIT562",3.613968,2.054733,5.366675,0.322847,1.54994,5.083629,3.102827,-0.906023,2.107429,4.498241,0.982379,NA,1.10969,0.438114,5.411641,2.540846,0.771574,0.589448,2.059889,-0.140425,1.065342,0.216081,1.16154,2.624452,NA,1.040372,-0.30122,NA,2.212148,NA,5.046398,2.561043,1.086397,NA,-5.279613,0.390639,-2.760316,6.241337,1.821204,2.769084,1.743198,5.015414,0.883121,3.944754,3.610874,-4.1179175,-2.934345,NA,-2.373801,0.544174,-3.565911,-6.1902975,NA,5.061701,1.573444,2.853405,-0.89887,4.225247,5.034379,0.974966,5.835872,-0.287705,3.981258,2.659809,2.320779,-1.806363,-0.793508,3.1424,4.53508,2.674255,NA,1.912278,2.814445,2.111634,3.755144,3.051418,1.694409,2.415271,2.215773,NA,NA,1.458452,4.162262,4.619022,3.725983,3.661642,4.170703,-2.69457,4.730202,-2.025907,4.692071,5.123261,3.71119,0.040638,-0.163541,1.937598,3.417192,4.050386,3.814193,1.889158,5.83464,2.335516,3.532626,NA,4.877527,1.738579,0.56409,3.872149,4.298972,5.147693,0.484024,0.488781,5.054756,3.826829,-5.123259,3.051487,4.36237,-0.951443,3.598667,-0.432945,NA,4.533571,-0.014781,3.498004,-1.023592,6.143381,2.081197,2.063598,-3.853181,NA,NA,4.440973,3.618285,0.045432,1.82107,2.246196,NA,NA,1.194125,2.915152,-2.696678,3.938542,2.207137,-4.327131,3.004104,2.113455,-1.113697,0.560778,6.122762,1.508731,-0.33829,NA,-0.235406,2.050398,2.310223,1.296303,0.985586,2.683554,2.358346,-5.515158,-2.899278,-5.407567,1.439125,2.074992,1.231392,3.67351,2.917758,3.177383,2.587666,4.080005,1.246511,NA,3.53288
"DKMG",7.150709,2.025661,5.872612,1.796538,2.658042,4.7238,4.973521,1.153814,4.585211,4.547664,2.909432,NA,2.660006,1.151058,5.787082,3.112016,2.354986,2.636189,4.102373,0.8663,3.228695,3.324545,1.238682,5.410008,NA,3.675219,1.092295,NA,2.618782,NA,5.66628,5.221747,2.685726,NA,-5.482351,1.470195,1.312427,7.199557,0.912633,6.015566,2.165607,5.479887,3.912266,5.541665,6.012156,-2.396207,-0.653377,NA,0.330326,3.542391,-1.895165,-2.4427885,NA,4.301916,1.837664,4.357882,-0.012616,5.813318,6.571112,2.686548,4.674169,-1.204521,4.492667,3.381463,4.436357,2.453653,1.154143,4.572957,5.082041,2.968936,NA,2.647155,4.718711,2.672266,5.328157,6.123281,3.090216,5.389061,3.734169,NA,NA,3.25608,5.805086,6.950613,3.983277,5.338587,5.85739,-1.196249,6.183028,-2.154009,4.4338,6.191813,5.954333,1.227647,2.607823,3.291038,4.920523,5.985138,5.096224,2.647824,6.42271,2.52194,5.804205,NA,0.867389,3.035623,0.854293,6.065092,4.487681,5.676091,1.228733,1.529699,6.5321475,4.167323,-0.024702,4.181521,5.206039,1.94169,4.60517,1.156522,NA,6.184816,2.21681,4.52885,-0.341914,5.801362,5.055778,2.806277,-2.396888,NA,NA,4.953834,5.191039,-0.573439,4.522355,0.511353,NA,NA,1.733415,4.653044,-3.015664,4.267969,2.843326,-5.64581,4.209404,4.104619,3.112735,1.124887,6.881559,2.149908,2.744738,NA,-1.052022,2.478069,2.081012,2.5039565,5.322746,5.573314,1.534621,-2.055761,-1.052273,-3.653334,2.11091,1.687474,3.880831,3.061911,3.066686,5.936697,4.753917,4.765984,3.354992,NA,4.361007
"DMS114",6.881279,3.078469,6.440017,2.238385,2.100109,4.263266,3.491263,3.864888,4.102754,4.677462,3.601838,NA,1.853308,1.531211,5.125747,3.100048,2.497863,3.017563,1.395375,1.168283,2.96394,3.572706,2.031874,1.460495,NA,2.528323,1.586602,NA,3.961488,NA,4.470273,3.265177,1.885186,NA,-4.752861,1.196942,-1.263248,6.004961,1.07925,3.286848,3.837878,4.992224,2.790819,5.547552,4.897176,-3.3472295,-1.549246,-6.659252,3.473985,-1.2433,-2.5904,-2.8799235,NA,3.399017,4.282122,4.862119,-0.939816,5.10622,5.738477,3.180196,5.590114,1.342358,3.3535065,2.081074,3.555591,-0.419992,0.564187,3.931535,4.180923,3.72824,NA,2.495656,5.480431,4.003067,3.628316,5.481525,3.316423,3.941107,3.143618,NA,NA,4.344064,5.355054,5.00876,3.444146,3.421701,5.537851,-2.154241,5.377795,-1.820442,2.758394,4.994242,4.930584,3.22349,1.593962,3.078903,4.087513,4.454103,4.456736,2.619336,6.079891,3.859502,4.322222,NA,4.444381,2.017043,1.066498,3.21832,4.128832,NA,1.685482,2.361684,5.3608325,5.453372,-2.874266,4.51008,4.989,2.412758,2.827641,-0.219244,NA,4.841514,0.800367,5.368516,-0.94077,5.152394,4.614364,2.54966,-3.631344,NA,NA,5.483997,5.446453,-0.780307,5.403914,2.96739,NA,NA,5.068639,6.023467,-5.400933,3.635984,3.088285,-2.407352,3.258866,3.249576,2.545917,-0.467538,5.313976,2.112921,1.278835,NA,2.367383,1.574442,1.25474,3.363886,4.076064,5.359617,1.853106,-4.292974,-3.094286,-3.438375,1.55493,3.166693,2.891844,3.181273,3.804103,4.640218,5.438396,4.733294,1.52922,NA,3.803373
"DMS273",5.683339,2.929244,5.241378,1.555215,-0.639995,4.13394,3.113858,-0.132928,2.499316,3.355168,1.92796,NA,1.968366,0.524256,4.22508,3.092092,0.061459,2.883927,3.453461,-0.523445,0.292546,1.591946,1.962926,-0.443014,NA,2.164166,0.115662,NA,1.067691,NA,3.656394,2.901745,2.533224,NA,-5.285811,0.240648,-2.533841,5.127962,1.536556,2.249134,2.372638,4.285574,0.764771,4.82669,4.954164,-4.13443,-2.505323,NA,3.338725,-0.543606,-3.934477,-6.084556,NA,2.528439,2.059754,3.446526,-0.625411,4.25167,4.268123,2.010162,4.382787,-0.476904,2.874742,1.797585,3.377829,-2.410594,-0.355603,4.185515,3.781442,3.223305,NA,2.471722,3.860438,2.640283,3.079002,4.501207,0.535682,2.32828,2.704743,NA,NA,2.108172,4.930978,5.362764,3.151807,3.748335,4.857215,-1.811247,5.047757,-2.027896,2.987506,5.049389,4.636691,0.04613,0.345915,0.445268,2.793052,4.721984,4.766589,1.980867,5.042512,1.800452,3.929449,NA,4.719427,2.664971,0.867076,3.564202,3.577602,NA,2.528001,2.658008,2.699403,4.317091,-4.802091,3.843971,4.162736,1.02362,3.884956,1.6746,NA,4.63449,-0.196758,3.740489,-1.788356,3.450034,3.03578,1.906309,-3.00868,NA,NA,4.615919,4.662427,-1.218284,3.787995,1.075171,NA,NA,4.50385,4.735502,-5.235322,3.112379,1.573337,-1.673507,1.541113,2.183303,1.937551,-0.348638,5.717539,-0.017213,0.832121,NA,1.08457,2.5052195,2.326611,-0.14596,2.764843,4.731917,2.022125,-4.773283,-3.737862,-4.395508,0.860047,2.346716,1.910825,3.858506,2.445332,4.713438,2.498302,3.7864,1.054131,NA,3.373812
"DMS53",6.983062,-1.936074,7.105699,2.328692,4.467595,4.228034,3.450775,3.087286,5.494635,5.754357,2.347303,NA,3.852509,4.306081,5.464761,3.782962,4.734198,3.937119,2.302831,2.306513,5.310092,3.81369,5.984856,5.175366,NA,4.935305,3.086258,NA,5.357488,NA,4.69537,5.761699,3.383174,NA,-3.461832,2.701414,-3.324535,6.259711,2.654404,3.827294,4.664307,5.554129,1.795724,5.768318,4.254679,-2.743123,1.377714,NA,4.056514,-2.684171,-1.736591,0.053073,NA,5.36353,3.354012,5.594403,-0.178692,5.571267,6.450357,2.514164,6.735948,0.970141,3.3319305,1.771571,3.70656,1.698957,2.765401,4.244299,5.767065,3.498644,NA,3.603439,5.043314,4.938561,6.164687,6.194899,5.775793,1.871212,3.142592,NA,NA,6.035135,6.157941,5.483804,1.914403,2.8048,5.632957,3.90245,6.114276,-0.812744,3.743058,6.214961,5.837565,0.367692,2.008744,4.101799,4.134779,3.685124,5.206989,-5.055968,6.252902,4.162135,4.308389,NA,5.812334,4.606118,1.462868,1.948177,3.96409,4.880218,2.248843,4.540455,4.6056085,4.983149,0.24869,3.916993,3.864496,1.409151,3.872617,2.567184,NA,5.855443,3.554342,5.278693,1.707034,6.63463,5.707562,3.152375,-2.551584,NA,NA,4.671303,4.950301,0.030772,5.852547,2.722499,NA,NA,3.208596,5.921637,-1.343964,3.134569,1.592627,-1.820276,2.110113,3.967683,3.628302,1.065837,6.558379,-0.101177,-1.129246,NA,0.706539,2.8054475,2.33306,3.9700865,5.007405,5.667346,-0.713364,1.146907,3.049028,0.829759,2.81414,1.978736,3.24819,4.735686,3.512654,3.861607,5.96867,4.928956,4.493009,NA,4.509452
"DMS79",3.361669,NA,5.635144,2.095463,NA,NA,3.199999,2.122129,3.945618,NA,NA,NA,NA,3.999111,4.129207,3.190295,2.487219,NA,NA,2.913843,NA,1.837216,0.661593,4.212125,NA,NA,NA,NA,NA,NA,NA,3.066859,NA,NA,NA,NA,-4.347583,5.637821,NA,NA,3.294219,NA,NA,4.502817,NA,-2.369092,NA,NA,NA,0.91773,-2.89445,2.271395,NA,3.179059,0.142705,3.87766,NA,4.352902,4.539209,NA,4.55452,NA,4.488523,1.815915,NA,NA,NA,4.319712,NA,3.913602,NA,2.236624,NA,3.93967,NA,4.539209,NA,0.149281,1.939026,NA,NA,NA,4.538651,4.410559,3.641379,3.749529,NA,-1.632719,4.539105,NA,NA,NA,4.293496,-1.279908,NA,NA,NA,4.369219,4.519146,NA,5.232356,NA,1.423223,NA,NA,NA,2.951848,4.063657,NA,NA,NA,2.661566,2.155412,NA,NA,NA,3.959565,0.876247,NA,NA,NA,4.539209,NA,4.539209,1.020123,4.586435,2.261069,NA,NA,NA,NA,4.231994,4.527029,-0.28539,4.033974,NA,NA,NA,3.845995,4.291816,NA,3.32436,NA,NA,NA,NA,2.401819,NA,NA,-2.325881,-2.792932,NA,NA,NA,NA,1.6929,3.846062,NA,NA,NA,2.248186,NA,NA,NA,NA,NA,NA,3.084368,4.260287,4.529541,NA,NA,2.893593
"DND41",4.208791,-1.201235,4.376572,0.973967,2.113399,3.796266,2.930287,0.711413,3.716207,3.986377,4.055283,NA,1.923539,-0.063741,4.274045,3.997689,2.180597,1.90361,2.516939,0.104733,3.630659,0.946611,-0.837454,4.047229,NA,0.275638,-1.969432,NA,4.376838,NA,4.025385,1.723679,1.882794,NA,-5.789101,1.598485,-4.613301,4.605726,1.714237,1.818854,1.362787,3.826489,-1.786259,4.332097,3.358563,-4.707769,-1.146977,-7.524123,1.567193,0.626417,-3.919959,-0.7515115,NA,2.062205,1.23965,2.81241,-2.059992,4.537522,4.453849,2.292248,0.50041,1.322864,2.438465,1.490836,2.030322,-2.269061,2.012946,3.315818,4.040204,3.061902,NA,1.941053,4.283506,2.060098,2.770526,4.385214,3.681346,0.005511,1.889367,NA,NA,1.251323,4.193582,3.723506,3.181974,3.151346,4.269907,-3.350453,4.295158,-2.312191,2.850389,4.257408,4.315548,-1.975551,-1.110289,2.590134,0.118746,3.207112,3.614293,-1.59938,0.65743,1.715831,1.659921,NA,3.907351,1.861656,0.801754,2.951968,3.614127,NA,2.082601,2.064966,3.298511,3.95458,-1.807915,2.216222,2.97747,-0.214349,3.177867,-0.480842,NA,4.281538,3.024445,4.425705,-1.856902,2.283603,1.626451,1.771954,-1.880007,NA,NA,2.097605,3.322942,-1.289243,4.213052,1.907492,NA,NA,2.094506,3.211297,-0.703517,2.98137,1.551556,-4.206419,0.878779,2.235154,3.21285,0.350808,4.607138,-1.933983,-3.045648,NA,1.069304,2.495891,1.51655,2.606269,1.570689,1.362771,1.044868,-4.491996,-3.972473,-3.076189,0.397904,2.413169,0.108035,-2.059659,3.45314,3.43232,1.706722,3.636546,1.830841,NA,2.77578
"DOHH2",1.511027,NA,3.64607,0.518569,NA,NA,2.286879,-3.036951,2.120963,NA,NA,NA,NA,-0.640992,3.236678,2.045965,-0.022695,NA,NA,-2.551644,NA,-0.342091,0.474399,-2.990325,NA,NA,NA,NA,NA,NA,NA,1.834836,NA,NA,NA,NA,-5.780752,4.264637,NA,NA,0.546764,NA,NA,3.068669,NA,-5.314496,NA,NA,NA,-1.15088,-3.964157,-6.494372,NA,1.256914,1.070581,2.486377,NA,3.507996,3.53718,NA,2.466582,NA,2.628775,1.232505,NA,NA,NA,2.913401,NA,2.077333,NA,0.781793,NA,0.944199,NA,0.483307,NA,-0.73432,1.234554,NA,NA,NA,3.53718,3.442024,2.258312,3.232802,NA,-4.355461,3.53718,NA,NA,NA,3.518097,-4.257308,NA,NA,NA,2.741493,2.822493,NA,3.886193,NA,0.450389,NA,NA,NA,0.936999,1.345434,NA,NA,NA,-1.026556,1.238513,NA,NA,NA,1.580833,-0.736204,NA,NA,NA,3.323911,NA,2.599223,-2.704033,0.513356,0.676371,NA,NA,NA,NA,3.20925,2.862486,-3.518869,1.827145,NA,NA,NA,2.008286,3.33129,NA,1.06733,NA,NA,NA,NA,0.067726,NA,NA,-4.660134,-3.101577,NA,NA,NA,NA,-2.3336,1.451542,NA,NA,NA,-6.086734,NA,NA,NA,NA,NA,NA,2.250241,1.882115,2.902855,NA,NA,1.878786
"DU145",6.143014,4.136149,6.143438,3.458345,3.967352,4.949441,5.971627,4.965412,4.690862,5.967969,4.270243,NA,4.422371,3.395023,6.231629,6.214476,2.847638,3.373979,4.448615,3.414869,3.616528,2.498533,4.430026,4.922923,NA,2.802341,0.936229,NA,4.331685,NA,5.196313,4.084725,3.86336,NA,-3.609399,2.343264,-3.161246,6.792114,4.455938,2.985695,4.758457,5.254177,3.728189,5.520234,5.439035,-0.931751,0.946869,-4.435718,0.859989,-0.395694,-0.419259,-3.8987205,NA,4.603478,4.342648,5.522126,-0.413594,5.387452,6.245884,3.296208,6.144914,2.704869,4.4398845,3.526421,3.907625,-2.25763,3.003477,5.132275,5.596624,4.247392,NA,3.636979,4.89666,5.698553,5.479249,5.974639,4.331776,2.31772,3.589322,NA,NA,5.904133,5.636833,5.304128,4.594657,5.533989,5.712201,-1.305637,5.911932,-0.62712,3.413865,5.915348,4.539233,1.35497,2.284438,5.744205,4.924726,4.133244,5.73521,2.562345,6.667786,5.056191,5.700183,NA,6.154389,4.684746,2.096708,2.790359,5.501561,NA,2.206008,4.013667,6.2641645,5.95559,0.192887,5.330999,5.957579,2.442201,5.060609,1.828903,NA,5.736197,2.865511,6.116087,-0.240609,6.756348,5.56477,4.788137,-1.231374,NA,NA,5.869726,5.373911,1.436652,5.423471,3.640692,NA,NA,5.056001,6.406398,-4.833888,4.768616,4.184055,-1.158497,3.08791,4.891858,4.326355,0.420476,6.091305,1.198311,0.368062,NA,2.658158,4.2646085,4.78194,5.3053445,3.932601,5.916604,2.950429,-4.053526,-1.379888,-3.694968,2.266987,3.320148,4.639972,4.20445,4.653367,4.406456,5.782479,5.610218,3.362541,NA,4.296284
"DU4475",2.571143,-3.644097,5.324137,1.666176,2.59815,3.60587,2.127739,1.403914,3.683013,3.309731,3.193018,1.222113,1.317109,0.152606,3.457453,1.921229,1.672574,2.003715,0.368651,0.813214,3.067925,0.003223,2.553318,2.606049,3.817631,0.63293,-0.891163,-0.735187,3.441892,-3.111002,3.518858,2.298243,1.46657,NA,-6.064644,0.561109,-4.271105,4.643576,1.548581,1.692161,1.043922,4.006,-1.633341,3.296582,-5.068587,-6.0536135,-1.87831,NA,0.981684,1.937804,-3.752667,-5.711603,4.479585,3.414185,-1.067673,2.359642,-3.814095,3.935777,3.969949,1.686863,3.708711,0.128927,2.866666,1.937802,1.843827,-3.408123,0.560125,1.744462,4.014319,3.396626,2.254741,1.693186,3.413417,2.891774,3.450054,3.790286,3.108525,0.378969,1.851935,0.258371,3.143339,0.846912,3.890692,4.379069,2.719742,1.937528,2.971234,-4.295916,2.96482,-3.036657,2.462552,4.240389,3.882983,-3.87351,0.056093,2.279407,2.520298,3.453306,2.972185,0.102278,4.788705,0.360705,1.702518,2.247878,0.712884,1.231306,-0.144224,3.56736,2.2725,1.521734,0.470463,2.146804,2.119186,2.453874,-3.052814,3.542085,3.958478,-5.839973,3.241444,-3.946638,2.732393,4.240389,2.029885,-0.930781,-1.445246,5.33888,1.549698,2.415442,-2.413356,3.031121,0.591896,3.140983,3.655907,-2.344587,3.382263,0.641799,4.045344,NA,-4.019831,-2.348382,-3.038838,3.03075,0.936984,-4.864754,NA,2.002943,3.371343,-1.225936,5.286314,-3.327912,-2.474938,-0.003313,-7.642454,-1.396995,1.578696,1.913995,2.071778,1.875748,0.125845,-3.745807,-2.070692,-2.529563,-0.019531,-1.661101,0.435697,-2.973504,2.595787,2.96079,1.575216,3.354377,0.599835,1.671552,2.615346
"EBC1",6.895327,0.251791,6.811539,2.833648,2.291804,4.542618,4.118524,2.682171,4.849971,4.546736,5.628348,NA,2.91597,4.106778,5.881875,5.818071,3.017249,3.523892,2.111405,1.054332,2.998499,2.742631,3.825071,5.624392,NA,2.687686,2.693899,NA,2.007882,NA,5.067172,3.633636,4.412666,NA,-5.771442,0.953332,-4.083769,6.766871,2.48816,5.586569,-2.566197,5.130109,2.275994,4.336913,4.674752,-3.736851,-2.431461,NA,3.02722,1.370198,-1.787695,-2.179258,NA,5.716693,0.779414,3.386263,-1.214287,5.557689,5.965299,2.9975,5.950258,-4.780019,4.8196215,2.645752,4.194308,-2.220304,-0.243949,4.95745,5.357067,3.865522,NA,2.055741,5.21436,2.74541,3.647505,4.521808,3.0506,0.10823,3.602993,NA,NA,2.266654,4.822001,4.651328,4.512621,4.574463,5.775384,-2.518694,4.990526,-1.880296,3.239249,6.103131,4.167321,0.258577,2.048782,1.866394,4.410125,5.166224,5.091123,-0.649841,6.336033,4.742636,3.888409,NA,5.407304,2.555777,1.975288,4.260814,3.653653,4.713842,1.224093,1.436465,5.5661015,2.989169,-3.077144,3.260256,5.28436,-2.880842,4.847576,-1.427155,NA,4.506509,0.806163,5.833795,-0.291215,6.029004,4.080656,3.257113,-1.904986,NA,NA,5.560301,4.642301,0.204947,4.458896,-5.470241,NA,NA,0.236353,0.738389,-4.174489,3.009665,2.507766,-3.157917,2.739099,3.594035,2.491105,0.430111,7.168577,1.268297,-1.593101,NA,-4.083761,1.1102,1.680679,3.1061885,4.316386,5.813494,1.751082,-2.678789,0.006711,-2.440708,1.112368,1.061521,2.608194,-0.725485,3.449673,4.985312,3.012598,4.493905,2.13227,NA,2.817691
"ECC10",4.89877,-1.301743,5.672949,1.22695,3.651411,3.053476,3.281819,0.310939,3.249531,3.392677,4.934363,NA,2.065064,-0.019347,3.561324,0.733695,1.251748,2.742719,0.371912,0.750424,3.071267,0.768589,0.655441,1.767468,NA,3.594589,1.207164,NA,4.865067,NA,3.775238,1.944321,2.181823,NA,-5.516042,1.142652,-2.953516,5.986994,1.447172,3.384277,2.881385,4.48777,1.458046,4.684995,4.66236,-4.0511865,-1.92902,-0.910646,3.416602,0.385933,-3.80792,-5.970778,NA,2.507535,-0.408302,3.171942,-2.018556,4.753653,4.934809,1.735379,5.620354,0.540463,2.957514,1.775619,2.228062,1.613534,1.461209,3.374193,3.920825,3.387522,NA,2.048478,4.932642,3.354951,1.926687,4.934363,4.463218,1.840422,2.592073,NA,NA,1.26209,4.095052,4.564126,4.448994,2.613402,4.88936,0.464937,4.898101,-2.132494,2.882652,4.868323,2.96267,0.522074,0.189488,3.773785,2.300717,3.71804,4.479954,-2.289524,5.543604,2.410054,4.842529,NA,4.796956,1.583046,1.853194,4.606384,4.083921,NA,1.14002,2.338788,4.041891,3.927349,-5.182209,3.881554,3.615547,0.357003,0.739418,-3.019552,NA,4.732247,1.246214,3.492691,-0.978328,4.048988,1.820221,2.235685,-1.568199,NA,NA,4.88883,4.748253,-2.836076,4.371645,1.940625,NA,NA,-0.433728,4.14561,-5.674808,2.819466,1.197344,-2.161883,4.119614,3.116812,2.74794,-0.329412,5.587763,-0.478573,-0.525297,NA,-0.155032,1.30949,1.648189,3.3955795,4.198491,4.929272,-0.986968,-4.826142,-2.923151,-3.856946,0.09427,2.476512,1.304883,3.02446,3.727841,2.974881,1.719223,4.528957,1.423121,NA,3.30589
